cnpj;razao_social;municipio;segmento TOTVs;faixa_funcionarios_grupo;faixa_faturamento_grupo;porte;natureza_juridica;Prioridade;Fone Ranking 1;Fone Ranking 2;Fone Ranking 3;Fone Ranking 4
07116586000101;MOLINA COMERCIAL DE ALIMENTOS LTDA;SAO JOSE DOS PINHAIS;VAREJO;50 a 99;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
04836055000197;NICOLOTTI COMERCIO VAREJISTA DE ALIMENTOS LTDA.;PIRAQUARA;VAREJO;50 a 99;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4135900649;0;0;0
04544381000120;INDUSTRIA DE LATICINIOS LACTO IRATI EIRELI;IRATI;MANUFATURA;20 a 49;20M A 30M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4131512619;4131512561;4234226386;4234222906
03417066000170;COMERCIAL EVOLUCENTER EIRELI;IMBITUVA;VAREJO;100 a 249;50M A 100M;DEMAIS;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4234361187;4234364432;4234361662;4234361745
01002685000178;HASHIGUCHI & CIA LTDA;CASTRO;VAREJO;50 a 99;40M A 50M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4232324781;4232324377;4232324170;4231254251
17257443000165;FILIPAK E CIA LTDA;SAO JOAO DO TRIUNFO;VAREJO;10 a 19;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
07323446000104;MINI MERCADO SANTA TEREZA D'AVILA LTDA.;CURITIBA;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
06014642000126;AREA VI SERVICOS TEMPORARIOS LTDA;CURITIBA;SERVICOS;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4132758744;0;0;0
31231206000156;JCP ASSESSORIA EM RECURSOS HUMANOS EIRELI;CURITIBA;SERVICOS;100 a 249;50M A 100M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;;;;
30294732000100;MERCADO BELLA VILLA LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130247207;4130713157;0;0
11178918000141;NODUSOJA INDUSTRIA E COMERCIO LTDA;COLOMBO;MANUFATURA;10 a 19;20M A 30M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130430634;4136636841;4136061724;4131099681
09201296000183;ORGANIZACAO EDUCACIONAL ARAUCARIA LTDA;CURITIBA;EDUCACIONAL;100 a 249;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130422277;4132565086;4132571587;4133451165
04382748000157;IMEDIATTA TRABALHO TEMPORARIO LTDA;QUATRO BARRAS;SERVICOS;100 a 249;30M A 40M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130264484;4136724815;0;0
33253025000156;CHIQUETO & CHIQUETO LTDA;REBOUCAS;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4234571500;4234571420;0;0
01289562000160;MARIAH AGENCIAMENTO DE RECURSOS HUMANOS LTDA;CURITIBA;SERVICOS;100 a 249;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00618239000120;COUTO E NURNBERG COMERCIO DE PECAS LTDA;CURITIBA;VAREJO;50 a 99;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130859029;4130946928;4530174500;4135380809
73373052000187;ZAMPROGNA DISTRIBUIDORA DE ALIMENTOS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4133793159;4130886151;4130456951;4130699272
76730431000175;COMERCIAL ALIMENTICIA ZAMPROGNA LTDA;CURITIBA;VAREJO;100 a 249;50M A 100M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130392118;4132455891;4133962915;4133494774
08960770000198;C. D. SANTOS & CIA LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130101562;4133961935;4133495134;4132656561
13581348000161;COMPRE MAIS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130227838;4131521350;4131521806;4131521102
13575235000153;LINHARES & TORRIANI LTDA;CURITIBA;VAREJO;10 a 19;7M A 10M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130860947;4130862200;4130423210;0
11945317000117;ATLANTIS - SERVICOS TERCEIRIZADOS LTDA;CURITIBA;SERVICOS;100 a 249;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130145126;4130180681;4130180682;6236114600
09501548000190;ESTACIONAMENTO SHOPPING PALLADIUM LTDA;CURITIBA;SERVICOS;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4135279639;0;0;0
17196120000109;DUTY DO BRASIL - EQUIPAMENTOS INDUSTRIAIS LTDA;SAO JOSE DOS PINHAIS;MANUFATURA;100 a 249;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4136342429;0;0;0
18154475000106;MK2 ENGENHARIA LTDA;CURITIBA;CONSTRUCAO E PROJETOS;100 a 249;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
85491751000100;TRACTOR LINE COM E RECUP DE PECAS AUTOMOTIVAS LTDA;CURITIBA;VAREJO;50 a 99;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
79092326000146;TIMBERLAND MANAGEMENT DO BRASIL LTDA;CURITIBA;CONSTRUCAO E PROJETOS;100 a 249;30M A 40M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
72201379000109;APOLLO SERVICOS TERCEIRIZADOS E MAO DE OBRA ESPECIALIZADA - EIRELI;CURITIBA;SERVICOS;100 a 249;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4130235961;4134082015;4134082051;4134082071
02178214000188;JOSE MENIN EIRELI;PONTAL DO PARANA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4141345834;4134583463;0;0
01239918000150;LOURENCO & BONFIM LTDA;CURITIBA;VAREJO;10 a 19;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4132651169;4132651266;4130539597;0
05330308000119;MERCADO CURITIBA LTDA;CURITIBA;VAREJO;50 a 99;30M A 40M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130194339;4130821167;0;0
08253527000130;SUPER GIRO COMERCIAL DE ALIMENTOS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130296009;4130891461;4133234925;0
07800844000166;AMERICA BRASIL SUL SERVICOS EIRELI;CURITIBA;SERVICOS;100 a 249;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;;;;
08334806000128;GF SERVICOS TERCEIRIZADOS EIRELI;CURITIBA;SERVICOS;20 a 49;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4135644171;4535644171;4533448575;0
08813184000110;A.B.F. COMERCIO DE MATERIAIS ODONTOLOGICOS LTDA;CURITIBA;DISTRIBUICAO;10 a 19;4,8M A 7M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
05211734000133;MV COMERCIO DE ALIMENTOS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4132327207;4132230282;0;0
29106995000151;CWB COMERCIO DE ARMARINHOS EIRELI;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4130957917;4130197918;0;0
11362218000102;MICHELI MILCHESKI & CIA LTDA;AGUDOS DO SUL;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4136241658;4136242034;0;0
08979810000143;API SPE 46 - PLANEJAMENTO E DESENVOLVIMENTO DE EMPREENDIMENTOS IMOBILIARIOS LTDA.;CAMPO LARGO;CONSTRUCAO E PROJETOS;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4135631427;4132122018;0;0
13390909000145;DIA A DIA AGENCIA DE EMPREGOS LTDA.;CAMPO LARGO;SERVICOS;100 a 249;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130326062;0;0;0
09337881000105;BUGAY & LISBOA LTDA;SAO JOAO DO TRIUNFO;VAREJO;10 a 19;7M A 10M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4234471356;0;0;0
04853997000183;AROMA DA CARNE COMERCIO DE ALIMENTOS LTDA;PINHAIS;DISTRIBUICAO;20 a 49;4,8M A 7M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130561559;4136655000;0;0
03022496000192;EDUCAR - DESENVOLVIMENTO DE TECNOLOGIAS EDUCACIONAIS LTDA;CURITIBA;VAREJO;20 a 49;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
11139671000154;CG COMERCIO DE GENEROS ALIMENTICIOS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4131533215;0;0;0
09071049000100;SENIOR CONSULTING EIRELI;CURITIBA;SERVICOS;50 a 99;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4132436238;4133021240;4133021204;4133021234
00082772000110;STAR NEWS COMERCIO DE VEICULOS LTDA;CURITIBA;VAREJO;20 a 49;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130248796;4130133321;0;0
22386141000127;SISTEMA DE ENSINO INTEGRAL PLUS LTDA;PONTA GROSSA;EDUCACIONAL;100 a 249;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4233235506;4232298069;4233235505;0
23171337000167;S. G. COMERCIO DE ALIMENTOS E UTILIDADES DOMESTICAS LTDA;PONTA GROSSA;VAREJO;100 a 249;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4230251868;0;0;0
15247008000124;CURITIBANA VIGILANCIA E SEGURANCA EIRELI;CURITIBA;SERVICOS;50 a 99;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4130427952;4130426642;4130420622;0
00078221000182;COUTINHO CONSTRUCOES LTDA;CURITIBA;CONSTRUCAO E PROJETOS;100 a 249;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00105063000102;SOLVIS INDUSTRIA E COMERCIO DE ELETRONICOS LTDA;CURITIBA;MANUFATURA;20 a 49;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00241296000132;EDUARDO DLUGOSZ & FILHOS LTDA;IRATI;MANUFATURA;20 a 49;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00249224000131;CABARAQUARA HOTELARIA LAZER CONSTRUCAO E INCORPORACAO LTDA;CURITIBA;CONSTRUCAO E PROJETOS;100 a 249;40M A 50M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00485362000110;BAG PEL - PARTICIPACOES E EMPREENDIMENTOS LTDA.;ARAUCARIA;EDUCACIONAL;20 a 49;40M A 50M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00489433000152;OM CONSTRUCOES CIVIS LTDA;CURITIBA;CONSTRUCAO E PROJETOS;100 a 249;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00519295000107;SABOR ALIMENTACAO PLANEJADA LTDA;PINHAIS;SERVICOS;100 a 249;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00529188000160;LATICINIOS RUHBAN LTDA;PIRAQUARA;MANUFATURA;50 a 99;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00533787000157;EMBRAPOL SUL BRASILEIRA LTDA;PINHAIS;MANUFATURA;50 a 99;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00688075000107;RODO SERVICE LTDA;CURITIBA;VAREJO;20 a 49;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00729422000100;PRENTISS QUIMICA LTDA;CAMPO LARGO;MANUFATURA;20 a 49;100M A 300M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00786496000170;SERVMAN SERVICOS DE MANUTENCAO INDUSTRIAL LTDA;CURITIBA;MANUFATURA;100 a 249;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
00960637000120;RTM TASSE ASSESSORIA DE MERCADO - EIRELI;CURITIBA;SERVICOS;250 a 499;20M A 30M;DEMAIS;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;1132624010;0;0;0
00961981000133;MARZA ENGENHARIA ELETRICA LTDA;JAGUARIAIVA;CONSTRUCAO E PROJETOS;500 a 999;50M A 100M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4131567700;2730450938;2730552885;4335358900
01065427000130;GHIGNONE DISTRIBUIDORA DE PUBLICACOES LTDA;SAO JOSE DOS PINHAIS;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01107501000134;TECNOPLANTA LTDA;PIRAQUARA;AGROINDUSTRIA;100 a 249;40M A 50M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01160030000128;BENATO & FILHOS LTDA;CURITIBA;VAREJO;50 a 99;40M A 50M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01184502000182;JUHEXC ASSESSORIA DE RECURSOS HUMANOS LTDA;QUATRO BARRAS;SERVICOS;100 a 249;30M A 40M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01270484000151;SCHULER CONSULTORIA LTDA;CURITIBA;CONSTRUCAO E PROJETOS;100 a 249;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01396138000114;TECNOLUZ ELETRICIDADE LTDA;WENCESLAU BRAZ;CONSTRUCAO E PROJETOS;100 a 249;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01437815000103;PARTICIPACOES E EMPREENDIMENTOS METALBARRAS LTDA.;QUATRO BARRAS;EDUCACIONAL;20 a 49;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01451786000126;HENDEL TRANSPORTES LTDA;PONTA GROSSA;LOGISTICA;250 a 499;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01500954000126;ARAUBRAS SERVICOS TECNICOS INDUSTRIAIS EIRELI;SAO MATEUS DO SUL;AGROINDUSTRIA;250 a 499;50M A 100M;DEMAIS;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4133548920;4235321401;0;0
01674524000120;KEOPS INDUSTRIA GRAFICA S.A.;CURITIBA;SERVICOS;50 a 99;50M A 100M;DEMAIS;SOCIEDADE ANÔNIMA FECHADA;1;;;;
01750566000101;MANDALLA-AGENCIA DE VIAGENS TURISMO E CAMBIO LTDA;CURITIBA;SERVICOS;100 a 249;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01795717000130;ASSISTENSERVICE ASSISTENCIA TECNICA DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS LTDA;SAO JOSE DOS PINHAIS;SERVICOS;50 a 99;20M A 30M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01807849000134;MJ MEDEIROS MONTAGEM E ELETROTECNICA LTDA;SAO JOSE DOS PINHAIS;CONSTRUCAO E PROJETOS;100 a 249;30M A 40M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01871194000163;MIQUELAO & CIA LTDA;PONTA GROSSA;CONSTRUCAO E PROJETOS;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
01944516000157;BAVARESCO & CINELLI LTDA;CURITIBA;VAREJO;50 a 99;40M A 50M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02019301000192;FIDARE LTDA;CURITIBA;SERVICOS;100 a 249;30M A 40M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130224966;4130224967;4130221010;4130224965
02035992000118;LYNX VIGILANCIA E SEGURANCA LTDA;CURITIBA;SERVICOS;1000 a 1999;100M A 300M;DEMAIS;SOCIEDADE SIMPLES LIMITADA;1;4132296574;0;0;0
02094401000183;COMERCIO DE COMBUSTIVEIS PAMPEIRO LTDA;SAO JOSE DOS PINHAIS;VAREJO;20 a 49;4,8M A 7M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02190526000107;ALAMO PARTICIPACOES SOCIETARIAS EIRELI;CURITIBA;EDUCACIONAL;50 a 99;50M A 100M;DEMAIS;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;;;;
02207639000178;IMPACTO ASSESSORIA E CONSULTORIA LTDA;CURITIBA;DISTRIBUICAO;50 a 99;4,8M A 7M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02221155000183;CONCESSIONARIA ECOVIA CAMINHO DO MAR S/A;SAO JOSE DOS PINHAIS;SERVICOS;100 a 249;50M A 100M;DEMAIS;SOCIEDADE ANÔNIMA FECHADA;1;;;;
02221531000130;RODONORTE - CONCESSIONARIA DE RODOVIAS INTEGRADAS S/A;PONTA GROSSA;SERVICOS;500 a 999;100M A 300M;DEMAIS;SOCIEDADE ANÔNIMA ABERTA;1;4232202903;4232202959;4232202992;4232202831
02233771000154;BRASILSAT LTDA;CURITIBA;CONSTRUCAO E PROJETOS;20 a 49;40M A 50M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02374177000183;MERLIN SISTEMA DE ENSINO LIMITADA;PINHAIS;SERVICOS;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02387241000160;RUMO S.A;CURITIBA;CONSTRUCAO E PROJETOS;50 a 99;50M A 100M;DEMAIS;SOCIEDADE ANÔNIMA ABERTA;1;1335769030;1335769045;1335769069;1335769076
02549606000106;TG SERVICES LTDA;CURITIBA;SERVICOS;100 a 249;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02580258000130;EQUIPAR - COMERCIO DE EQUIPAMENTOS LABORATORIAIS E HOSPITALARES LTDA.;CURITIBA;DISTRIBUICAO;50 a 99;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02598615000197;CONSERVARTE LTDA;SAO JOSE DOS PINHAIS;CONSTRUCAO E PROJETOS;50 a 99;20M A 30M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02607032000185;CENTENARIO ARTIGOS ESPORTIVOS LTDA;CURITIBA;VAREJO;50 a 99;4,8M A 7M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4133225524;0;0;0
02624190000143;BIOGENESIS BAGO SAUDE ANIMAL LTDA.;CURITIBA;DISTRIBUICAO;100 a 249;40M A 50M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02805535000165;INDUSTRIA E COMERCIO DE MOVEIS BALTEZAN LTDA;COLOMBO;MANUFATURA;250 a 499;50M A 100M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4132967704;0;0;0
02879929000168;TOZETTO PARTICIPACOES E EMPREENDIMENTOS LTDA;PONTA GROSSA;CONSTRUCAO E PROJETOS;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
02906861000169;MBS COMUNICACAO LTDA;CURITIBA;SERVICOS;100 a 249;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4133222025;0;0;0
02970373000110;PREMIUM JET - MANUTENCAO DE AERONAVES LTDA;SAO JOSE DOS PINHAIS;SERVICOS;50 a 99;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
03022656000101;PROFILATICA PRODUTOS ODONTO MEDICO HOSPITALARES S.A.;ARAUCARIA;DISTRIBUICAO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE ANÔNIMA FECHADA;1;;;;
03054050000140;DISTEFANO & STOCO LTDA;SAO MATEUS DO SUL;MANUFATURA;50 a 99;20M A 30M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
