"chat_id","company_name",cnpj,"Faixa Funcionários Grupo","Fone Ranking 1","Fone Ranking 2","Fone Ranking 3","Fone Ranking 4","Func Grupo Ordem","municipio_ajustado","Penetração Geral Municipio","razao_social",Segmento,"Tipo Cliente","date_sent",status
"1.785076061E9","TOTVS Curitiba",23218584000171,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","F.4 PARTICIPACOES S.A",SERVICOS,Prospect,"2021-04-19 00:00:00",SENT
"(empty)","TOTVS Curitiba",03875828000181,"20 a 49","4.132735411E9","4.133743444E9","4.13372842E9","(empty)",6,"CURITIBA, PR","19%","BORGES DOS REIS ADMINISTRACAO E PARTICIPACOES LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",03960142000199,"20 a 49","4.130376765E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","JOSE FRANCISCO DE OLIVEIRA & CIA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",33217163000180,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","F2W LOCACOES DE ESCRITORIO LTDA",SERVICOS,Prospect,"2021-04-19 00:00:00",SENT
"(empty)","TOTVS Curitiba",04022559000173,"50 a 99","4.132844612E9","4.133447288E9","4.133444688E9","4.1328432E9",5,"CURITIBA, PR","19%","SOL DE MINAS COMERCIO DE FRIOS EIRELI",DISTRIBUICAO,Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",79634960000163,"1000 ou Mais","6.634216377E9","4.333441007E9","4.333239021E9","6.634216742E9",1,"COLOMBO, PR","14%","EMPLOYER ORGANIZACAO DE RECURSOS HUMANOS S.A.",SERVICOS,Prospect,"2021-05-05 13:01:11.592142",SENT
"(empty)","TOTVS Curitiba",00547297000100,"50 a 99","4.130180255E9","4.130189616E9","4.130190255E9","4.130230701E9",5,"CURITIBA, PR","19%","TELE COLCHOES COMERCIO DE COLCHOES LTDA",VAREJO,Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",04041933000188,"1000 ou Mais","1.33591785E9","6.130334638E9","4.121116176E9","4.121116195E9",1,"CURITIBA, PR","19%","PHILIP MORRIS BRASIL INDUSTRIA E COMERCIO LTDA.",SERVICOS,Prospect,"2021-05-05 13:01:14.553910",SENT
"(empty)","TOTVS Curitiba",04211209000155,"20 a 49","4.133560303E9","4.133572338E9","(empty)","(empty)",6,"CURITIBA, PR","19%","HW EMPREITEIRA DE OBRAS LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",00618239000120,"50 a 99","4.130859029E9","4.130946928E9","4.5301745E9","4.135380809E9",5,"CURITIBA, PR","19%","COUTO E NURNBERG COMERCIO DE PECAS LTDA",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",04284208000130,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","CONSTRUTORA PATO BRANCO LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",05072994000175,"20 a 49","4.132780662E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","LB EMPREENDIMENTOS IMOBILIARIOS LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",76801166000179,"1000 ou Mais","4.135937582E9","4.135937579E9","4.135937576E9","4.135937568E9",1,"SAO JOSE DOS PINHAIS, PR","47%","O BOTICARIO FRANCHISING LTDA",SERVICOS,Prospect,"2021-05-06 11:30:24.008513",SENT
"1.785076061E9","TOTVS Curitiba",08925050000191,"500 a 999","4.132278787E9","4.135124E9","(empty)","(empty)",2,"CURITIBA, PR","19%","PAPILOS ADMINISTRADORA DE BENS E PARTICIPACOES SOCIETARIAS EIRELI","CONSTRUCAO E PROJETOS",Prospect,"2021-05-06 11:30:27.062730",SENT
"1.785076061E9","TOTVS Curitiba",02576670000186,"500 a 999","4.13074629E9","4.1307463E9","4.130746481E9","4.130746359E9",2,"CURITIBA, PR","19%","INSTITUTO CURITIBA DE INFORMATICA",SERVICOS,Prospect,"2021-05-06 16:30:11.667271",SENT
"(empty)","TOTVS Curitiba",06134838000154,"20 a 49","4.141017564E9","4.132560602E9","(empty)","(empty)",6,"CURITIBA, PR","19%","A.G.B. MONTAGENS ELETRO-MECANICAS LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",19269999000105,"500 a 999","3.137749973E9","4.132277202E9","4.133493954E9","(empty)",2,"CURITIBA, PR","19%","CWBEM SERVICOS DE APOIO INDUSTRIAL, PATRIMONIAL E RECURSOS HUMANOS LTDA",SERVICOS,Prospect,"2021-05-07 11:30:14.008611",SENT
"1.785076061E9","TOTVS Curitiba",76493626000149,"500 a 999","4.133335058E9","4.133342745E9","4.133322028E9","4.133336684E9",2,"CURITIBA, PR","19%","CLUBE CURITIBANO",SERVICOS,Prospect,"2021-05-07 16:30:11.619122",SENT
"1.785076061E9","TOTVS Curitiba",77637684000161,"500 a 999","4.133527343E9","4.130787742E9","4.130766512E9","4.130297054E9",2,"CURITIBA, PR","19%","COTRANS LOCACAO DE VEICULOS LTDA",SERVICOS,Prospect,"2021-05-07 16:30:17.418336",SENT
"1.785076061E9","TOTVS Curitiba",78587748000120,"500 a 999","4.133630203E9","(empty)","(empty)","(empty)",2,"CURITIBA, PR","19%","OTTO WILLIAM NISSEL LTDA. COMERCIO, EXPORTACAO E IMPORTACAO",SERVICOS,Prospect,"2021-05-10 11:30:31.010956",SENT
"(empty)","TOTVS Curitiba",07087524000100,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","GARANTIA INCORPORADORA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",81646879000145,"250 a 499","4.234464601E9","4.23446655E9","4.234466462E9","4.234463486E9",3,"PRUDENTOPOLIS, PR","0%","SERVICO DE OBRAS SOCIAIS",SERVICOS,Prospect,"2021-05-10 16:30:33.470682",SENT
"(empty)","TOTVS Curitiba",00303028000106,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","MARIA DE LOURDES DOS SANTOS KLOS",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",00322604000154,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","MS AUDIO  COMERCIO DE EQUIPAMENTOS DE AUDIO E VIDEO LTDA",VAREJO,Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",03030002000111,"250 a 499","4.533066758E9","4.533062209E9","4.236232354E9","4.533063691E9",3,"GUARAPUAVA, PR","10%","PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA","CONSTRUCAO E PROJETOS",Prospect,"2021-05-11 16:30:20.391709",SENT
"1.785076061E9","TOTVS Curitiba",04048628000118,"250 a 499","4.230356171E9","(empty)","(empty)","(empty)",3,"GUARAPUAVA, PR","10%","INVIOLAVEL SEGURANCA LTDA",SERVICOS,Prospect,"2021-05-11 16:30:23.456767",SENT
"(empty)","TOTVS Curitiba",07737009000129,"20 a 49","4.121123757E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","NSG CONSTRUTORA EIRELI","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",81732042000119,"250 a 499","4.130797397E9","4.136660301E9","4.132744162E9","4.33399202E9",3,"COLOMBO, PR","14%","GRANTEL ENGENHARIA LTDA","CONSTRUCAO E PROJETOS",Prospect,"2021-05-12 11:30:18.005618",SENT
"(empty)","TOTVS Curitiba",01579237000131,"20 a 49","4.335672905E9","(empty)","(empty)","(empty)",6,"SENGES, PR","25%","JOSE APARECIDO SALVADOR - ALIMENTOS",DISTRIBUICAO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",07831263000191,"20 a 49","4.133549227E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","PERINE & ANDREATTA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",72559750000109,"250 a 499","4.1362736E9","(empty)","(empty)","(empty)",3,"FAZENDA RIO GRANDE, PR","18%","VIACAO NOBEL LTDA",SERVICOS,Prospect,"2021-05-12 16:30:27.597724",SENT
"1.785076061E9","TOTVS Curitiba",03263623000145,"250 a 499","4.133222785E9","4.133242507E9","4.133393898E9","4.133241831E9",3,"CURITIBA, PR","19%","TTRADICAO CONSTRUTORA DE OBRAS LTDA.","CONSTRUCAO E PROJETOS",Prospect,"2021-05-13 11:30:11.550867",SENT
"1.785076061E9","TOTVS Curitiba",03280759000163,"250 a 499","4.130220221E9","4.132722236E9","4.13672109E9","4.132255884E9",3,"CURITIBA, PR","19%","MCQ - ELETRO SERVICE LTDA","CONSTRUCAO E PROJETOS",Prospect,"2021-05-13 11:30:17.535685",SENT
"(empty)","TOTVS Curitiba",00111430000180,"20 a 49","4.136685306E9","4.133542244E9","4.1307526E9","4.132537969E9",6,"PINHAIS, PR","40%","TRATORACO E MERCADO DE CORREIAS LTDA",VAREJO,Prospect,"(empty)",WAITING
"1.058085328E9","TOTVS Curitiba",81075137000107,"500 a 999","4.232237381E9","4.232202635E9","4.232202675E9","4.232202689E9",2,"PONTA GROSSA, PR","14%","AGUIA SISTEMAS DE ARMAZENAGEM S/A",MANUFATURA,Prospect,"2021-04-16 00:00:00",SENT
"1.058085328E9","TOTVS Curitiba",00198057000147,"500 a 999","4.132177171E9","4.132177534E9","(empty)","(empty)",2,"CURITIBA, PR","19%","ARAUCO FOREST BRASIL S.A.",AGROINDUSTRIA,Prospect,"2021-04-16 00:00:00",SENT
"1.058085328E9","TOTVS Curitiba",07609453000169,"250 a 499","4.335128364E9","4.335128335E9","4.335128351E9","4.335128315E9",3,"ARAPOTI, PR","0%","ARAUCO FLORESTAL ARAPOTI S.A.",AGROINDUSTRIA,Prospect,"2021-04-19 00:00:00",SENT
"(empty)","TOTVS Curitiba",08639757000131,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","BRILHUM INCORPORADORA DE IMOVEIS LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.058085328E9","TOTVS Curitiba",03983856000112,"250 a 499","7.133419758E9","(empty)","(empty)","(empty)",3,"CURITIBA, PR","19%","4UM GESTAO DE RECURSOS LTDA",SERVICOS,Prospect,"2021-04-19 00:00:00",SENT
"(empty)","TOTVS Curitiba",08842173000169,"20 a 49","4.130538989E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","CONSTRUTORA KARVANIS LTDA.","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.058085328E9","TOTVS Curitiba",00418477000191,"250 a 499","4.13014368E9","4.13076524E9","4.130140084E9","4.932462938E9",3,"CURITIBA, PR","19%","VILLARE GASTRONOMIA EMPRESARIAL LTDA",SERVICOS,Prospect,"2021-05-10 11:00:11.330046",SENT
"1.785076061E9","TOTVS Curitiba",76731033000173,"250 a 499","4.1325056E9","4.132524663E9","4.132528609E9","4.132505625E9",3,"CURITIBA, PR","19%","ASSOCIACAO PROTETORA DA INFANCIA PROVINCIA DO PR",EDUCACIONAL,Prospect,"2021-05-17 16:30:32.025972",SENT
"1.785076061E9","TOTVS Curitiba",03158860000146,"250 a 499","4.730257396E9","4.73028248E9","4.130392306E9","4.730257107E9",3,"CURITIBA, PR","19%","PELISSARI INFORMATICA SA",SERVICOS,Prospect,"2021-05-17 16:30:34.918858",SENT
"1.058085328E9","TOTVS Curitiba",00622216000199,"100 a 249","4.430278515E9","4.234222049E9","4.234232695E9","4.2342323E9",4,"IRATI, PR","6%","ISA-IRATI S/A-ADMINISTRACAO E PARTICIPACOES",SERVICOS,Prospect,"2021-05-17 11:00:03.395688",SENT
"1.785076061E9","TOTVS Curitiba",06233165000190,"250 a 499","4.130130546E9","4.133193477E9","4.130519502E9","4.130519503E9",3,"CURITIBA, PR","19%","HAMIRISI SERVICOS DE CONSERVACAO E LIMPEZA LTDA",SERVICOS,Prospect,"2021-05-18 16:30:25.348723",SENT
"1.058085328E9","TOTVS Curitiba",00616989000162,"100 a 249","4.130882406E9","4.832030717E9","4.132080286E9","(empty)",4,"CURITIBA, PR","19%","TEXTIL XV CONFECCOES EIRELI",SERVICOS,Prospect,"2021-05-24 11:00:05.946147",SENT
"1.058085328E9","TOTVS Curitiba",00242640000108,"100 a 249","4.136432285E9","4.136431252E9","4.1210686E9","4.121068601E9",4,"ARAUCARIA, PR","38%","GRECA TRANSPORTES DE CARGAS LTDA.",LOGISTICA,Prospect,"2021-05-24 11:00:08.760441",SENT
"1.785076061E9","TOTVS Curitiba",07592315000114,"250 a 499","4.132678007E9","4.135933232E9","4.135933205E9","4.135933399E9",3,"CURITIBA, PR","19%","FH SERVICOS DE CONSULTORIA EM SISTEMAS LTDA",SERVICOS,Prospect,"2021-05-19 11:30:18.043215",SENT
"(empty)","TOTVS Curitiba",09242001000117,"20 a 49","4.133576376E9","4.135564528E9","(empty)","(empty)",6,"CURITIBA, PR","19%","ALBERTI & BLANK CONSTRUTORA E INCORPORADORA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",10852997000161,"250 a 499","4.1974007447E10","4.1974009246E10","4.1974007456E10","4.8991489109E10",3,"CURITIBA, PR","19%","ONDREPSB PR SISTEMAS DE SEGURANCA LTDA",SERVICOS,Prospect,"2021-05-19 16:30:27.172630",SENT
"1.785076061E9","TOTVS Curitiba",11009550000198,"250 a 499","4.1988211979E10","4.199141469E10","4.1998460052E10","4.1998460039E10",3,"CURITIBA, PR","19%","ORPAS ORGANIZACAO PARANAENSE DE SEGURANCA LTDA",SERVICOS,Prospect,"2021-05-20 11:30:32.102166",SENT
"(empty)","TOTVS Curitiba",09503214000155,"20 a 49","4.131976757E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","D.R. MORAIS - ENGENHARIA LTDA.","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.058085328E9","TOTVS Curitiba",06030165000192,"50 a 99","4.13242268E9","4.132431625E9","4.132431565E9","4.133427152E9",5,"CURITIBA, PR","19%","AGROFLORESTAL CAMPO ALTO S/A.",AGROINDUSTRIA,Prospect,"2021-06-21 11:00:55.255770",SENT
"1.058085328E9","TOTVS Curitiba",01240760000139,"50 a 99","(empty)","(empty)","(empty)","(empty)",5,"CURITIBA, PR","19%","TRANSOLIDO TRANSPORTES DE RESIDUOS EIRELI",LOGISTICA,Prospect,"2021-06-21 11:00:59.817343",SENT
"1.785076061E9","TOTVS Curitiba",72175516000188,"250 a 499","4.432271328E9","4.133223494E9","4.130830198E9","4.130830196E9",3,"CURITIBA, PR","19%","KEEPER TRABALHO TEMPORARIO LTDA",SERVICOS,Prospect,"2021-05-21 11:30:20.080452",SENT
"1.785076061E9","TOTVS Curitiba",75110585000100,"250 a 499","4.133305758E9","4.133305821E9","4.333738E9","4.53321705E9",3,"CURITIBA, PR","19%","SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO PARANA - SEBRAE/PR",SERVICOS,Prospect,"2021-05-21 11:30:22.902475",SENT
"(empty)","TOTVS Curitiba",09664782000138,"20 a 49","3.133246642E9","4.13352217E9","4.130868368E9","4.130868365E9",6,"CURITIBA, PR","19%","VLB ENGENHARIA E CONSULTORIA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",76515071000199,"250 a 499","4.133302369E9","4.1381523E9","4.133302073E9","6.232141234E9",3,"CURITIBA, PR","19%","SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA",SERVICOS,Prospect,"2021-05-21 16:30:11.339484",SENT
"1.785076061E9","TOTVS Curitiba",76538412000141,"250 a 499","4.133395093E9","4.133357093E9","4.133395046E9","4.13122486E9",3,"CURITIBA, PR","19%","ORLANDO BERTOLDI S/A",SERVICOS,Prospect,"2021-05-21 16:30:14.185162",SENT
"1.785076061E9","TOTVS Curitiba",76590306000107,"250 a 499","4.130251343E9","4.130251369E9","4.130251361E9","4.130251357E9",3,"CURITIBA, PR","19%","GRACIOSA COUNTRY CLUB",SERVICOS,Prospect,"2021-05-24 11:30:13.875087",SENT
"(empty)","TOTVS Curitiba",10502481000197,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","PEDROSO SERVICE AUTOMACAO LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",78352572000127,"250 a 499","4.130136203E9","4.13028254E9","4.133439544E9","4.133429182E9",3,"CURITIBA, PR","19%","SLAVIERO HOTEIS E TURISMO LTDA",SERVICOS,Prospect,"2021-05-24 16:30:17.341536",SENT
"(empty)","TOTVS Curitiba",78583721000169,"250 a 499","4.13342522E9","4.133366807E9","4.133224214E9","4.1214195E9",3,"CURITIBA, PR","19%","MPS INFORMATICA LTDA",SERVICOS,Prospect,"(empty)",PENDING
"(empty)","TOTVS Curitiba",10699883000123,"20 a 49","4.130233999E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","AFG CONSTRUTORA EIRELI","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",10814213000100,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","CONSTRUTORA ALPES LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",16725422000164,"250 a 499","(empty)","(empty)","(empty)","(empty)",3,"CASTRO, PR","26%","R. R. SILVA CONSTRUTORA E INCORPORADORA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",75809186000123,"250 a 499","4.235246623E9","4.1210367E9","(empty)","(empty)",3,"CAMPO LARGO, PR","28%","TRANSPORTES COLETIVOS NOSSA SENHORA DA PIEDADE LTDA",SERVICOS,Prospect,"(empty)",PENDING
"(empty)","TOTVS Curitiba",00242646000185,"20 a 49","4.130759077E9","4.132883353E9","4.13074808E9","4.132884937E9",6,"CURITIBA, PR","19%","BIO CARB - INDUSTRIA QUIMICA EIRELI",MANUFATURA,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",10982919000181,"20 a 49","4.133394013E9","4.133579708E9","(empty)","(empty)",6,"CURITIBA, PR","19%","TEPOL ENGENHARIA E INSTALACOES LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",11031745000134,"20 a 49","4.132746036E9","4.133290093E9","4.134241916E9","(empty)",6,"CURITIBA, PR","19%","ROL CONSTRUCOES CIVIS LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",11148401000100,"20 a 49","4.133563451E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","VARPEC ENGENHARIA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",00263744000107,"20 a 49","4.733696638E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","GUARANTA PARTICIPACOES, INVESTIMENTOS E ADMINISTRACAO DE BENS LTDA",SERVICOS,Prospect,"(empty)",PENDING
"1.785076061E9","TOTVS Curitiba",82670985000127,"100 a 249","(empty)","(empty)","(empty)","(empty)",4,"PRUDENTOPOLIS, PR","0%","ASPHALT PAVIMENTACAO ASFALTICA EIRELI","CONSTRUCAO E PROJETOS",Prospect,"2021-04-22 00:00:00",SENT
